path,label,label_id
..\data\audio\18022026\go\004ae714_nohash_0.wav,go,0
..\data\audio\18022026\go\0132a06d_nohash_2.wav,go,0
..\data\audio\18022026\go\0137b3f4_nohash_0.wav,go,0
..\data\audio\18022026\go\0137b3f4_nohash_2.wav,go,0
..\data\audio\18022026\go\0137b3f4_nohash_3.wav,go,0
..\data\audio\18022026\go\0137b3f4_nohash_4.wav,go,0
..\data\audio\18022026\go\016e2c6d_nohash_0.wav,go,0
..\data\audio\18022026\go\016e2c6d_nohash_2.wav,go,0
..\data\audio\18022026\go\01bb6a2a_nohash_3.wav,go,0
..\data\audio\18022026\go\01bb6a2a_nohash_4.wav,go,0
..\data\audio\18022026\go\022cd682_nohash_0.wav,go,0
..\data\audio\18022026\go\023a61ad_nohash_1.wav,go,0
..\data\audio\18022026\go\023a61ad_nohash_2.wav,go,0
..\data\audio\18022026\go\026290a7_nohash_0.wav,go,0
..\data\audio\18022026\go\02746d24_nohash_0.wav,go,0
..\data\audio\18022026\go\030ec18b_nohash_0.wav,go,0
..\data\audio\18022026\go\030ec18b_nohash_1.wav,go,0
..\data\audio\18022026\go\035de8fe_nohash_0.wav,go,0
..\data\audio\18022026\go\035de8fe_nohash_1.wav,go,0
..\data\audio\18022026\go\037c445a_nohash_0.wav,go,0
..\data\audio\18022026\go\0447d7c1_nohash_0.wav,go,0
..\data\audio\18022026\go\0474c92a_nohash_0.wav,go,0
..\data\audio\18022026\go\05cf43ef_nohash_0.wav,go,0
..\data\audio\18022026\go\05d18852_nohash_0.wav,go,0
..\data\audio\18022026\go\0616de09_nohash_0.wav,go,0
..\data\audio\18022026\go\06a79a03_nohash_0.wav,go,0
..\data\audio\18022026\go\070b49af_nohash_0.wav,go,0
..\data\audio\18022026\go\079d1020_nohash_0.wav,go,0
..\data\audio\18022026\go\07c5129e_nohash_0.wav,go,0
..\data\audio\18022026\go\096456f9_nohash_1.wav,go,0
..\data\audio\18022026\go\099d52ad_nohash_1.wav,go,0
..\data\audio\18022026\go\099d52ad_nohash_4.wav,go,0
..\data\audio\18022026\go\0a9f9af7_nohash_0.wav,go,0
..\data\audio\18022026\go\0a9f9af7_nohash_1.wav,go,0
..\data\audio\18022026\go\0ab3b47d_nohash_0.wav,go,0
..\data\audio\18022026\go\0b77ee66_nohash_1.wav,go,0
..\data\audio\18022026\go\0c2d2ffa_nohash_0.wav,go,0
..\data\audio\18022026\go\0c40e715_nohash_1.wav,go,0
..\data\audio\18022026\go\0cd323ec_nohash_0.wav,go,0
..\data\audio\18022026\go\0d393936_nohash_1.wav,go,0
..\data\audio\18022026\go\0d53e045_nohash_0.wav,go,0
..\data\audio\18022026\go\0d53e045_nohash_1.wav,go,0
..\data\audio\18022026\go\0e5193e6_nohash_0.wav,go,0
..\data\audio\18022026\go\0ea0e2f4_nohash_1.wav,go,0
..\data\audio\18022026\go\0eb48e10_nohash_0.wav,go,0
..\data\audio\18022026\go\0f250098_nohash_0.wav,go,0
..\data\audio\18022026\go\0f7dc557_nohash_0.wav,go,0
..\data\audio\18022026\go\0f7dc557_nohash_1.wav,go,0
..\data\audio\18022026\go\0fa1e7a9_nohash_0.wav,go,0
..\data\audio\18022026\go\0fa1e7a9_nohash_1.wav,go,0
..\data\audio\18022026\go\0ff728b5_nohash_2.wav,go,0
..\data\audio\18022026\go\0ff728b5_nohash_3.wav,go,0
..\data\audio\18022026\go\10627519_nohash_0.wav,go,0
..\data\audio\18022026\go\106a6183_nohash_1.wav,go,0
..\data\audio\18022026\go\106a6183_nohash_4.wav,go,0
..\data\audio\18022026\go\10ace7eb_nohash_2.wav,go,0
..\data\audio\18022026\go\10ace7eb_nohash_4.wav,go,0
..\data\audio\18022026\go\11099149_nohash_1.wav,go,0
..\data\audio\18022026\go\118261a9_nohash_0.wav,go,0
..\data\audio\18022026\go\118261a9_nohash_2.wav,go,0
..\data\audio\18022026\go\11860c84_nohash_0.wav,go,0
..\data\audio\18022026\go\11a022ba_nohash_1.wav,go,0
..\data\audio\18022026\go\122c5aa7_nohash_0.wav,go,0
..\data\audio\18022026\go\122c5aa7_nohash_2.wav,go,0
..\data\audio\18022026\go\122c5aa7_nohash_3.wav,go,0
..\data\audio\18022026\go\122c5aa7_nohash_4.wav,go,0
..\data\audio\18022026\go\12529547_nohash_0.wav,go,0
..\data\audio\18022026\go\129c7d8d_nohash_0.wav,go,0
..\data\audio\18022026\go\1338a799_nohash_0.wav,go,0
..\data\audio\18022026\go\14872d06_nohash_2.wav,go,0
..\data\audio\18022026\go\151bfb79_nohash_0.wav,go,0
..\data\audio\18022026\go\15b0c947_nohash_0.wav,go,0
..\data\audio\18022026\go\15b0c947_nohash_2.wav,go,0
..\data\audio\18022026\go\15c563d7_nohash_2.wav,go,0
..\data\audio\18022026\go\15c563d7_nohash_3.wav,go,0
..\data\audio\18022026\go\15c563d7_nohash_4.wav,go,0
..\data\audio\18022026\go\15f04ff8_nohash_0.wav,go,0
..\data\audio\18022026\go\1625acd8_nohash_0.wav,go,0
..\data\audio\18022026\go\1626bc5a_nohash_0.wav,go,0
..\data\audio\18022026\go\1678e6f1_nohash_1.wav,go,0
..\data\audio\18022026\go\16d41d07_nohash_0.wav,go,0
..\data\audio\18022026\go\16db1582_nohash_0.wav,go,0
..\data\audio\18022026\go\171b56dc_nohash_1.wav,go,0
..\data\audio\18022026\go\173ae793_nohash_0.wav,go,0
..\data\audio\18022026\go\173ce2be_nohash_0.wav,go,0
..\data\audio\18022026\go\173ce2be_nohash_1.wav,go,0
..\data\audio\18022026\go\173e6bbf_nohash_1.wav,go,0
..\data\audio\18022026\go\179a61b7_nohash_0.wav,go,0
..\data\audio\18022026\go\179a61b7_nohash_2.wav,go,0
